date,err,type,object,loc,id,oid,x,y
2020-08-10T10:19:04.825202+00:00,2.994761315,plate,dl,opposite,dl2,11,1.2,1.7
2020-08-10T10:19:04.824770+00:00,5.230485279,plate,dl,back,dl1,2,0.7,1.2
2020-08-10T10:19:04.825369+00:00,2.615961657,chair,door,bl,door2,15,0.23,3.48
2020-08-10T10:19:04.824933+00:00,2.93813133,chair,door,fl,door1,5,-0.22,3.03
2020-08-10T10:19:04.825160+00:00,2.450560051,plate,dr,opposite,dr1,10,-1.2,1.2
2020-08-10T10:19:04.825850+00:00,3.278512484,plate,dr,right,dr2,26,-0.7,1.7
2020-08-10T10:19:04.824830+00:00,2.093944924,chair,window,fr,window1,3,-0.22,-2.4
2020-08-10T10:19:04.826018+00:00,8.021630122,chair,window,br,window2,30,0.23,-1.95
2020-08-10T10:19:04.825809+00:00,2.091972955,plate,wl,front,wl1,25,0.7,-0.7
2020-08-10T10:19:04.825600+00:00,10.25122724,plate,wl,left,wl2,20,1.2,-0.2
2020-08-10T10:19:04.825328+00:00,5.240333012,plate,wr,front,wr1,14,-1.2,-0.7
2020-08-10T10:19:04.825975+00:00,6.507858466,plate,wr,right,wr2,29,-0.7,-0.2
