"","subject","condition","dog_ID","caregiver","door_left","door_right","objects","stranger","trial"
"1","akin","bp",4,0.0447916666720433,0,0.00833333333472085,0.0399305555615103,0.0670138888951905,120.1190215
"2","akin","np",4,0.0229485396402534,0.428372739845799,0.135605006956039,0,0.0378998609125616,119.9523134
"3","akin","op",4,0.0787456445829444,0.0114982578365194,0,0.0554006968486842,0.0219512195060824,119.7029167
"4","akin","sp",4,0.0298403886243202,0.146426092966904,0.321651630815631,0,0.039902845251033,120.2027294
"5","akito","bp",35,0.367667597637651,0.126047486029042,0,0,0,119.4526667
"6","akito","np",35,0.0240083507223466,0.733820459265161,0.0222686151677133,0,0,119.86975
"7","akito","op",35,0.424939045689942,0.0787182166464674,0.0473702542640223,0.0344827586206897,0.0397074190177638,119.744625
"8","akito","sp",35,0.159011830270546,0.748434238163841,0,0,0.0497564370280574,119.8687295
"9","albi","bp",2,0.360457063636975,0.0190443213233042,0.0266620498542862,0.0522853185501624,0.0439750692413724,120.4530213
"10","albi","np",2,0.000291036088458724,0.110593713621293,0.717112921997186,0,0.0937136204906871,143.3090213
"11","albi","op",2,0.878887669169469,0,0,0,0,113.988875
"12","albi","sp",2,0,0,0.940793976875309,0,0.0249828884383596,121.8707295
"13","amelie","bp",31,0.191695501754418,0.0155709342529838,0.0553633217920739,0.00865051903312263,0.375432525942945,120.5367293
"14","amelie","np",31,0,0.90367290339598,0,0,0,120.37025
"15","amelie","op",31,0.157073509083724,0.1043689320733,0.0884188627152096,0.140429958454979,0.00728155340007608,120.2868333
"16","amelie","sp",31,0.046949965745456,0.247772446955989,0,0.032213845105043,0.310486634713288,121.7047292
"17","amy8","bp",3,0,0,0,0.027472527465832,0.017857142857731,121.4540213
"18","amy8","np",3,0,0,0,0,0,136.3028333
"19","amy8","op",3,0,0,0,0,0,122.87275
"20","amy8","sp",3,0,0,0,0,0,125.8750213
"21","arkani2","bp",8,0.372354948850286,0.373037542637036,0,0,0.0232081911225933,122.2047294
"22","arkani2","np",8,0,0.650242886914014,0,0,0,120.2027294
"23","arkani2","op",8,0.287647467054937,0.225537820965653,0,0.0149201943080005,0.0312283136725513,120.2027294
"24","arkani2","sp",8,0,0.741164241164241,0.14275814273045,0,0.0315315315287623,120.37025
"25","aruba","bp",25,0.147970597727027,0.0233301374355408,0.110578459612762,0.0584851390365688,0.16395014386264,130.5042778
"26","aruba","np",25,0.265355417577897,0.0924775707552154,0.106625258808079,0,0,120.8697295
"27","aruba","op",25,0.19273356403672,0.157093425679398,0.00415224913609636,0.0297577854698264,0.0522491349680767,120.5370833
"28","aruba","sp",25,0.0235294117739781,0.444636678295998,0.0380622837503154,0,0.288581314958697,120.5370833
"29","asha","bp",10,0.0342323651407218,0.0318118948730545,0.0656984785374918,0.214730290397263,0.172890733026998,120.6200212
"30","asha","np",10,0.00897606383032781,0.300531914855035,0,0,0,125.4577295
"31","asha","op",10,0.0219780219743123,0.109890109871562,0.112980769208998,0.15865384612012,0.122252747229539,121.4540213
"32","asha","sp",10,0,0,0.0415236788006842,0.0446122168935011,0.0223061084508645,121.5380833
"33","asta2","bp",37,0.0491349481160044,0,0.0491349481077082,0.125259515608339,0.0262975778591782,120.5370833
"34","asta2","np",37,0.0690135936058403,0.88567445127495,0,0,0,119.6612083
"35","asta2","op",37,0.0395970823092581,0.0218825981182742,0.0236193122574211,0.125043417810382,0.244876693228306,120.0782917
"36","asta2","sp",37,0.0355029585700056,0.616428819874472,0.0341106856876891,0.0393317089984623,0.0532544378550084,119.8280417
"37","balu3","bp",1,0,0,0,0,0.721733668108424,132.7987294
"38","balu3","np",1,0,0,0,0,0,121.9540216
"39","balu3","op",1,0,0,0,0,0,122.2054167
"40","balu3","sp",1,0,0,0,0,0,121.4540213
"41","bambi2","bp",18,0.192096219903808,0,0,0.0281786941553292,0.0360824742268041,121.37125
"42","bambi2","np",18,0,0.582972136140177,0.059133126929423,0,0.117647058814797,134.7170214
"43","bambi2","op",18,0.223337950095902,0,0,0.0917590027274808,0,120.4530213
"44","bambi2","sp",18,0.0582928521698169,0.103400416346069,0.161346287230786,0.0614156835360571,0.17522553780287,120.2034167
"45","basil","bp",23,0,0,0.0103950103950104,0.0256410256437949,0.226957726988189,120.37025
"46","basil","np",23,0.108321870694402,0.365887207681069,0.0759972489686353,0,0,121.2870214
"47","basil","op",23,0.33910034614219,0.319031142012045,0.0107266435988169,0.02283737024853,0.0148788927349132,120.5370833
"48","basil","sp",23,0.0825846578928785,0.592950932776153,0.0362819626713903,0,0.0376641326751578,120.7039167
"49","beli","bp",32,0.0398936170106772,0.0255984042511748,0,0,0.0362367021153749,125.4586667
"50","beli","np",32,0.262102351273262,0.125864453656454,0.0107192254478074,0.0376901797944713,0.0542876901642,120.6199826
"51","beli","op",32,0.0146137787056367,0.103688239359805,0.0198329853862213,0.103340292283917,0.0146137787056367,119.86975
"52","beli","sp",32,0,0.0539092055621325,0.00693568726278405,0.00693568726278405,0.144703657035198,132.2988333
"53","bishuji","bp",27,0.183044982755112,0.0359861591822672,0.111072664390578,0.163321799358654,0.0162629757775133,120.5370833
"54","bishuji","np",27,0,0.969118667949315,0,0,0,120.2027294
"55","bishuji","op",27,0.0547470547647065,0.88877338947376,0,0,0,120.3697293
"56","bishuji","sp",27,0,0.993771626295855,0,0,0,120.5370833
"57","boogie","bp",26,0.11243016763518,0.014664804473062,0.0282821229171176,0.218924581092038,0.0841480447264341,119.4520266
"58","boogie","np",26,0,0.286109191512867,0.464063579984238,0,0.0490670352544501,120.7037292
"59","boogie","op",26,0.236005528617168,0.0196959225927484,0,0.234968901113158,0.0407740151936043,120.7032753
"60","boogie","sp",26,0.0321354526518028,0.36696613673349,0.108845888014171,0,0.357636489214273,120.7039167
"61","butch","bp",30,0.108108108109473,0.0207090207096647,0.0101790101787561,0.154791154785841,0.172341172368212,118.826405
"62","butch","np",30,0,0.977176966851109,0,0,0,118.7845315
"63","butch","op",30,0.0376831821458885,0,0,0,0,119.5360833
"64","butch","sp",30,0,0.942827442827443,0,0,0.0284130284102592,120.37025
"65","dawn","bp",16,0.148160999237221,0,0,0.0798056904733557,0.580499652860533,120.2034167
"66","dawn","np",16,0,0.206267217678788,0.0761019283752356,0.0492424242427995,0.0323691460044861,121.1200215
"67","dawn","op",16,0.195097380694616,0,0,0.0779046339574986,0,124.2066053
"68","dawn","sp",16,0.0197952218451539,0.0409556314029202,0.0105802047788831,0.0433447098979461,0.582935153571888,122.2047294
"69","dubangi","bp",36,0.108258154069836,0.0749479528207785,0,0,0.0409437890351265,120.2027294
"70","dubangi","np",36,0.00416088765905429,0.932732316225732,0,0,0.0187239944491173,120.2860214
"71","dubangi","op",36,0.166956521803309,0.0240000000083396,0.0219130434898637,0.0716521739511154,0.0191304347902231,119.9104815
"72","dubangi","sp",36,0,0.959861591988596,0,0,0.0204152249219058,120.5370833
"73","emi","bp",34,0.112903225838137,0,0.0574193548509347,0,0.692903225985087,129.2958333
"74","emi","np",34,0,0.749653259310479,0,0,0.0180305131781506,120.2860214
"75","emi","op",34,0.507493900237547,0.0111537120967145,0.00871383757686396,0.0174276751453709,0.0254444057094002,119.6602336
"76","emi","sp",34,0.0303241547662025,0.0177762286560498,0,0,0.81456953662568,119.6612083
"77","finch","bp",15,0.195772695745003,0.00450450450173527,0,0.0235620235647928,0.0616770616742924,120.37025
"78","finch","np",15,0,0.968858131479277,0,0,0,120.5370833
"79","finch","op",15,0.0121107266497131,0,0.0460207612556359,0,0,120.5370833
"80","finch","sp",15,0.0428769017908281,0.14730290450322,0.019363762099886,0.0127939142411625,0.0342323651407218,120.6200212
"81","fiona","bp",11,0.0916722632582257,0.00436534586828916,0.0758898589676575,0.315983881755766,0.0725319006024806,124.2067294
"82","fiona","np",11,0.285555555577756,0.261388888911089,0,0.253888888844489,0.000277777775557776,150.15
"83","fiona","op",11,0.197231833873893,0.0231833909981495,0.0477508650469082,0.282698961933755,0.0584775086393521,120.5367293
"84","fiona","sp",11,0,0,0,0.527297857803054,0.148237733287863,120.7037292
"85","flee","bp",40,0.167662565895603,0,0.00702987697408702,0.205272407698962,0.0991212653792926,118.6595299
"86","flee","np",40,0,0.632394366047363,0.188380281634315,0.00105633802787175,0.0894366196875134,118.4516667
"87","flee","op",40,0.263011797284461,0.0527411519659408,0,0.0190839694575836,0,120.2034167
"88","flee","sp",40,0,0.14256893068281,0.428379286863891,0.016812373901541,0.159045057108094,124.0397295
"89","gandalf","bp",20,0.112612612609843,0,0.0266805266832959,0.165627165632704,0.127858627858628,120.37025
"90","gandalf","np",20,0.0304498269952746,0.0591695501893731,0.6003460209245,0.0574394463716047,0.0159169550189373,120.5370833
"91","gandalf","op",20,0.400760719067093,0,0,0.214730290397263,0,120.6200212
"92","gandalf","sp",20,0,0.625719769862604,0.0357005758266917,0.0276391554787291,0.0191938579744076,108.6502083
"93","gin","bp",9,0.0326162387196104,0.847675225333258,0,0.00346981262638269,0.0353920888173888,120.2034167
"94","gin","np",9,0.00138408304231298,0.926297577745873,0,0,0,120.5367293
"95","gin","op",9,0.0794747754239229,0.275397373944599,0.124740843152011,0.0649619903375777,0.0252246026297587,120.7037292
"96","gin","sp",9,0.0390624999860979,0.86848958300395,0.0247395833229677,0,0.00813802083043705,128.1277293
"97","hailey","bp",29,0.0505502063412654,0.0185694635539342,0.0285419532430546,0.128954608005187,0.0983493810421626,121.2878333
"98","hailey","np",29,0.131588132663148,0.718324607304737,0.0328097731211197,0,0,119.494375
"99","hailey","op",29,0,0,0.0345744680785771,0.077127659551319,0.042885638286478,125.4586667
"100","hailey","sp",29,0.00493131383955585,0,0,0,0.607608312598852,118.4091591
"101","kate3","bp",17,0.559861591640184,0.0352941176412027,0.0384083044967772,0.00242214533026988,0.0602076124526136,120.5367293
"102","kate3","np",17,0.0759888965965527,0.167244968756924,0.695697432391248,0,0,120.2027294
"103","kate3","op",17,0.39688581323089,0.103460207610648,0.215916955052122,0.0391003460343395,0,120.5370833
"104","kate3","sp",17,0.00695249130772793,0.0411355735788268,0.284183082250262,0.00869061413813272,0.0298377752020325,143.9760215
"105","lenny4","bp",21,0.031658637296177,0,0,0.0461114934518719,0.0378527185057605,121.2044167
"106","lenny4","np",21,0.0201598887703567,0.329857490423884,0.0639555092010741,0.108793882494626,0.122002085459973,119.9940556
"107","lenny4","op",21,0.969760166840459,0,0,0.00173792144872854,0,119.994875
"108","lenny4","sp",21,0.0579458709096744,0.184594031843356,0.0489243580710963,0.00589868147233788,0.397293546066066,120.2034167
