rownum,Scoring,Start,Start_Frame,Stop,Stop_Frame,duration,Subject,Behaviour,Value
0,dog-tracking-projekt-2020-08-27_17-18-48_dst_balu3_bp,0,0,132.7987294,3184,132.7987294,Balu3,trial,trial
1,dog-tracking-projekt-2020-08-27_17-18-48_dst_balu3_bp,2.460780475,59,86.62781434,2077,84.16703387,Balu3,interest_area,stranger
2,dog-tracking-projekt-2020-08-27_17-18-48_dst_balu3_bp,92.38353817,2215,104.0618184,2495,11.67828022,Balu3,interest_area,stranger
3,dog-tracking-projekt-2020-08-27_17-25-03_dst_balu3_op,0,0,122.2054167,2930,122.2054167,Balu3,trial,trial
4,dog-tracking-projekt-2020-08-27_17-30-01_dst_balu3_sp,0,0,121.4540213,2912,121.4540213,Balu3,trial,trial
5,dog-tracking-projekt-2020-08-27_17-34-34_dst_balu3_np,0,0,121.9540216,2924,121.9540216,Balu3,trial,trial
6,dog-tracking-projekt-2020-08-27_18-05-19_dst_albi_bp,0,0,1.710032504,41,1.710032504,Albi,interest_area,stranger
7,dog-tracking-projekt-2020-08-27_18-05-19_dst_albi_bp,0,0,120.4530213,2888,120.4530213,Albi,trial,trial
8,dog-tracking-projekt-2020-08-27_18-05-19_dst_albi_bp,2.001989273,48,3.08640013,74,1.084410856,Albi,interest_area,objects
9,dog-tracking-projekt-2020-08-27_18-05-19_dst_albi_bp,12.22047619,293,12.92951406,310,0.709037868,Albi,interest_area,caregiver
10,dog-tracking-projekt-2020-08-27_18-05-19_dst_albi_bp,16.4747034,395,18.14302779,435,1.668324394,Albi,interest_area,caregiver
11,dog-tracking-projekt-2020-08-27_18-05-19_dst_albi_bp,21.31284414,511,22.81433609,547,1.501491955,Albi,interest_area,objects
12,dog-tracking-projekt-2020-08-27_18-05-19_dst_albi_bp,23.31483341,559,25.60877946,614,2.293946042,Albi,interest_area,door_left
13,dog-tracking-projekt-2020-08-27_18-05-19_dst_albi_bp,33.44990411,802,33.90869332,813,0.458789208,Albi,interest_area,door_right
14,dog-tracking-projekt-2020-08-27_18-05-19_dst_albi_bp,48.214575,1156,51.92659678,1245,3.712021778,Albi,interest_area,objects
15,dog-tracking-projekt-2020-08-27_18-05-19_dst_albi_bp,54.22054282,1300,57.80744027,1386,3.586897448,Albi,interest_area,stranger
16,dog-tracking-projekt-2020-08-27_18-05-19_dst_albi_bp,58.26622948,1397,61.01896473,1463,2.752735251,Albi,interest_area,door_right
17,dog-tracking-projekt-2020-08-27_18-05-19_dst_albi_bp,76.24242483,1828,78.57807898,1884,2.335654152,Albi,interest_area,caregiver
18,dog-tracking-projekt-2020-08-27_18-05-19_dst_albi_bp,81.74789533,1960,120.4530213,2888,38.70512595,Albi,interest_area,caregiver
19,dog-tracking-projekt-2020-08-27_18-10-47_dst_albi_sp,0,0,121.8707295,2922,121.8707295,Albi,trial,trial
20,dog-tracking-projekt-2020-08-27_18-10-47_dst_albi_sp,1.292947507,31,1.793443316,43,0.500495809,Albi,interest_area,stranger
21,dog-tracking-projekt-2020-08-27_18-10-47_dst_albi_sp,2.252231141,54,5.422037932,130,3.169806791,Albi,interest_area,door_right
