dog_ID,dog_name,survey_ID,survey_token,date_of_birth,test_date,test_time,sex,stranger_name,object_combination,trial_number,condition_id,owner_presence,stranger_presence,owner_chair,stranger_chair,head_centre-snout,ear-ear,ear-head_centre
1,Balu3,1,1,16.7.2018.,27.8.2020.,17,M,Lea,1-9-13-10,1,pp,p,p,door,window,18,12,7
1,Balu3,1,1,16.7.2018.,27.8.2020.,17,M,Lea,15-8-6-4,2,pa,p,a,door,window,18,12,7
1,Balu3,1,1,16.7.2018.,27.8.2020.,17,M,Lea,16-14-11-5,3,ap,a,p,door,window,18,12,7
1,Balu3,1,1,16.7.2018.,27.8.2020.,17,M,Lea,12-3-7-2,4,aa,a,a,door,window,18,12,7
2,Albi,2,2,4.12.2013.,27.8.2020.,18,M,Lea,7-3-9-16,1,pp,p,p,window,door,22,15.5,10.5
2,Albi,2,2,4.12.2013.,27.8.2020.,18,M,Lea,11-6-10-5,2,ap,a,p,window,door,22,15.5,10.5
2,Albi,2,2,4.12.2013.,27.8.2020.,18,M,Lea,2-13-4-15,3,pa,p,a,window,door,22,15.5,10.5
2,Albi,2,2,4.12.2013.,27.8.2020.,18,M,Lea,8-14-12-1,4,aa,a,a,window,door,22,15.5,10.5
3,Amy8,4,3,12.3.2010.,28.8.2020.,17,F,Lea,10-1-11-14,1,pp,p,p,door,window,15,12,7
3,Amy8,4,3,12.3.2010.,28.8.2020.,17,F,Lea,15-7-8-9,2,aa,a,a,door,window,15,12,7
3,Amy8,4,3,12.3.2010.,28.8.2020.,17,F,Lea,2-12-6-4,3,ap,a,p,door,window,15,12,7
3,Amy8,4,3,12.3.2010.,28.8.2020.,17,F,Lea,13-3-16-5,4,pa,p,a,door,window,15,12,7
4,Akin,5,4,22.4.2009.,3.9.2020.,11,M,Lea,14-6-16-7,1,pp,p,p,window,door,20,15,10
4,Akin,5,4,22.4.2009.,3.9.2020.,11,M,Lea,11-13-8-1,2,aa,a,a,window,door,20,15,10
4,Akin,5,4,22.4.2009.,3.9.2020.,11,M,Lea,2-5-15-9,3,pa,p,a,window,door,20,15,10
4,Akin,5,4,22.4.2009.,3.9.2020.,11,M,Lea,12-10-3-4,4,ap,a,p,window,door,20,15,10
5,Zuri,6,5,17.11.2009.,3.9.2020.,11,F,Lea,11-5-13-16,1,pp,p,p,door,window,17,13.5,8
5,Zuri,6,5,17.11.2009.,3.9.2020.,11,F,Lea,1-9-6-10,2,pa,p,a,door,window,17,13.5,8
5,Zuri,6,5,17.11.2009.,3.9.2020.,11,F,Lea,4-12-14-2,3,aa,a,a,door,window,17,13.5,8
5,Zuri,6,5,17.11.2009.,3.9.2020.,11,F,Lea,15-7-8-3,4,ap,a,p,door,window,17,13.5,8
6,Timo2,7,6,1.2.2019.,28.8.2020.,18,M,Lea,14-11-5-15,1,pp,p,p,window,door,18,18,9
6,Timo2,7,6,1.2.2019.,28.8.2020.,18,M,Lea,7-16-9-6,2,ap,a,p,window,door,18,18,9
6,Timo2,7,6,1.2.2019.,28.8.2020.,18,M,Lea,10-4-1-3,3,aa,a,a,window,door,18,18,9
6,Timo2,7,6,1.2.2019.,28.8.2020.,18,M,Lea,13-2-12-8,4,pa,p,a,window,door,18,18,9
7,Mailo,8,7,23.4.2017.,28.8.2020.,18,M,Lea,1-15-16-6,1,pa,p,a,door,window,16,12,7
7,Mailo,8,7,23.4.2017.,28.8.2020.,18,M,Lea,10-3-9-4,2,ap,a,p,door,window,16,12,7
7,Mailo,8,7,23.4.2017.,28.8.2020.,18,M,Lea,7-13-14-12,3,aa,a,a,door,window,16,12,7
7,Mailo,8,7,23.4.2017.,28.8.2020.,18,M,Lea,8-2-11-5,4,pp,p,p,door,window,16,12,7
8,Arkani2,11,10,5.5.2014.,9.9.2020.,9,M,Nora,7-3-2-9,1,pa,p,a,window,door,18,12,10
8,Arkani2,11,10,5.5.2014.,9.9.2020.,9,M,Nora,6-1-15-16,2,ap,a,p,window,door,18,12,10
8,Arkani2,11,10,5.5.2014.,9.9.2020.,9,M,Nora,5-14-8-11,3,pp,p,p,window,door,18,12,10
8,Arkani2,11,10,5.5.2014.,9.9.2020.,9,M,Nora,12-4-13-10,4,aa,a,a,window,door,18,12,10
9,Gin,12,11,5.10.2019.,9.9.2020.,9,F,Nora,4-13-9-12,1,pa,p,a,door,window,16,10,8
9,Gin,12,11,5.10.2019.,9.9.2020.,9,F,Nora,16-7-1-10,2,pp,p,p,door,window,16,10,8
9,Gin,12,11,5.10.2019.,9.9.2020.,9,F,Nora,8-6-2-15,3,ap,a,p,door,window,16,10,8
9,Gin,12,11,5.10.2019.,9.9.2020.,9,F,Nora,5-14-3-11,4,aa,a,a,door,window,16,10,8
10,Asha,9,8,29.12.2016.,1.9.2020.,12,F,Damjan,14-6-11-2,1,pa,p,a,window,door,17,13,9
